Date,ES,6E,6M,ZN,ZC,GC
2005-02-01,1374.75,1.53415,0.0309249999999999,72.46872500000006,337.25,1015.9999999999992
2005-02-02,1378.75,1.53255,0.0310999999999999,72.45310000000006,335.75,1016.0999999999992
2005-02-03,1375.25,1.5254499999999998,0.0310499999999999,72.21872500000006,336.0,1011.6999999999992
2005-02-04,1387.75,1.51605,0.0311999999999999,72.85935000000006,335.5,1008.9999999999992
2005-02-07,1386.5,1.50595,0.0309249999999999,72.96872500000006,336.5,1008.4999999999992
2005-02-08,1388.0,1.50605,0.0307749999999999,73.03122500000006,335.25,1007.2999999999992
2005-02-09,1378.5,1.50775,0.0309999999999999,73.56247500000006,335.25,1007.3999999999992
2005-02-10,1382.25,1.5165499999999998,0.0311249999999999,73.01560000000006,338.25,1011.6999999999992
2005-02-11,1392.75,1.5154499999999995,0.0312999999999999,72.78122500000006,338.25,1014.9999999999992
2005-02-14,1392.25,1.5250499999999998,0.0312749999999999,72.90622500000006,339.5,1020.4999999999992
2005-02-15,1396.5,1.5306499999999998,0.0310999999999999,72.74997500000006,339.0,1020.5999999999992
2005-02-16,1396.5,1.5327499999999998,0.0312499999999999,72.28122500000006,337.0,1020.2999999999992
2005-02-17,1386.75,1.53615,0.0318249999999999,72.18747500000006,339.0,1021.9999999999992
2005-02-18,1388.0,1.53605,0.0325499999999999,71.65622500000006,339.5,1021.8999999999992
2005-02-22,1370.5,1.5554499999999998,0.0325999999999999,71.53122500000006,345.0,1029.499999999999
2005-02-23,1378.5,1.55255,0.0324999999999999,71.57810000000006,343.5,1029.7999999999993
2005-02-24,1386.5,1.54985,0.0321749999999999,71.46872500000006,344.0,1029.499999999999
2005-02-25,1398.0,1.5535499999999998,0.0324749999999999,71.51560000000006,346.5,1029.8999999999992
2005-02-28,1390.0,1.5536499999999998,0.0323999999999999,70.95310000000006,350.0,1031.3999999999992
2005-03-01,1396.0,1.54825,0.0323499999999999,70.89060000000006,348.0,1027.5999999999992
2005-03-02,1395.5,1.5431499999999998,0.0325499999999999,70.87497500000006,348.0,1027.499999999999
2005-03-03,1395.75,1.54065,0.0324749999999999,70.81247500000006,347.25,1024.5999999999992
2005-03-04,1410.25,1.5536499999999998,0.0330249999999999,71.23435000000006,346.25,1028.8999999999992
2005-03-07,1411.25,1.55005,0.0331499999999999,71.29685000000006,342.75,1029.6999999999994
2005-03-08,1406.5,1.56445,0.0335499999999999,70.82810000000006,343.25,1034.999999999999
2005-03-09,1393.0,1.57025,0.0333499999999999,69.99997500000006,346.5,1036.8999999999992
2005-03-10,1395.5,1.5730499999999998,0.0331749999999999,70.29685000000006,349.5,1037.3999999999992
2005-03-11,1387.0,1.5759499999999995,0.0329749999999999,69.79685000000006,353.0,1040.999999999999
2005-03-14,1393.5,1.5674499999999998,0.0321249999999999,69.90622500000006,350.75,1035.7999999999993
2005-03-15,1384.25,1.56235,0.0315249999999999,69.79685000000006,355.5,1035.5999999999992
2005-03-16,1373.5,1.5719499999999995,0.0315249999999999,70.01560000000006,354.75,1038.3999999999992
2005-03-17,1375.5,1.5676499999999998,0.0318249999999999,70.32810000000006,353.0,1033.2999999999993
2005-03-18,1372.25,1.5616499999999998,0.0319749999999999,70.14060000000006,351.0,1033.8999999999992
2005-03-21,1367.75,1.54795,0.0314249999999999,70.10935000000006,346.5,1025.5999999999992
2005-03-22,1355.75,1.5395499999999998,0.0314999999999999,69.49997500000006,345.5,1025.6999999999994
2005-03-23,1356.25,1.52815,0.0311499999999999,69.42185000000006,342.25,1019.4999999999992
2005-03-24,1357.0,1.52575,0.0312249999999999,69.53122500000006,341.75,1018.9999999999992
2005-03-28,1359.0,1.51785,0.0304249999999999,69.29685000000006,342.75,1020.1999999999992
2005-03-29,1351.25,1.5228499999999998,0.0309999999999999,69.59372500000006,342.5,1020.2999999999992
2005-03-30,1366.75,1.52375,0.0312999999999999,69.85935000000006,342.25,1021.1999999999992
2005-03-31,1365.25,1.52605,0.0318249999999999,70.39060000000006,342.75,1022.7999999999992
2005-04-01,1359.0,1.5208499999999998,0.0317749999999999,70.65622500000006,345.0,1019.9999999999992
2005-04-04,1361.25,1.5152499999999998,0.0315499999999999,70.70310000000006,343.0,1017.5999999999992
2005-04-05,1366.75,1.5173499999999998,0.0312499999999999,70.62497500000006,338.5,1018.0999999999992
2005-04-06,1370.5,1.51765,0.0314499999999999,70.89060000000006,339.5,1020.6999999999992
2005-04-07,1376.75,1.5150499999999998,0.0316749999999999,70.64060000000006,338.5,1019.8999999999992
2005-04-08,1365.0,1.52245,0.0321499999999999,70.49997500000006,337.5,1020.2999999999992
2005-04-11,1365.0,1.52825,0.0325999999999999,70.79685000000006,338.75,1021.8999999999992
2005-04-12,1371.25,1.5225499999999998,0.0327499999999999,71.43747500000006,339.0,1020.7999999999992
2005-04-13,1357.25,1.5212499999999998,0.0328499999999999,71.46872500000006,338.25,1022.4999999999992
2005-04-14,1341.5,1.51245,0.0325749999999999,71.62497500000006,339.5,1016.9999999999992
2005-04-15,1324.25,1.5206499999999998,0.0325749999999999,72.21872500000006,338.25,1017.5999999999992
2005-04-18,1327.5,1.5313499999999998,0.0324999999999999,72.39060000000006,336.5,1019.9999999999992
2005-04-19,1336.25,1.5329499999999998,0.0327999999999999,72.74997500000006,341.0,1025.3999999999992
2005-04-20,1320.5,1.5375499999999998,0.0328499999999999,72.70310000000006,342.75,1027.8999999999992
2005-04-21,1342.25,1.53445,0.0331499999999999,72.06247500000006,343.75,1025.8999999999992
2005-04-22,1338.0,1.5355499999999995,0.0330999999999999,72.35935000000006,342.0,1027.0999999999992
2005-04-25,1345.0,1.52795,0.0330249999999999,72.35935000000006,345.25,1027.3999999999992
2005-04-26,1334.75,1.52655,0.0328749999999999,72.32810000000006,345.75,1030.6999999999994
2005-04-27,1338.0,1.5230499999999998,0.0328249999999999,72.60935000000006,342.25,1025.7999999999993
2005-04-28,1323.75,1.51845,0.0325249999999999,73.12497500000006,338.25,1023.9999999999992
2005-04-29,1339.25,1.51545,0.0332499999999999,72.87497500000006,338.75,1027.6999999999994
2005-05-02,1344.5,1.51525,0.0332999999999999,72.96872500000006,334.5,1022.0999999999992
2005-05-03,1347.0,1.51545,0.0334249999999999,72.84372500000006,331.0,1019.2999999999992
2005-05-04,1356.25,1.52315,0.0337999999999999,73.06247500000006,331.75,1021.2999999999992
2005-05-05,1355.75,1.52335,0.0340499999999999,73.34372500000006,333.5,1021.9999999999992
2005-05-06,1352.25,1.5104499999999998,0.0339249999999999,72.54685000000006,334.0,1018.1999999999992
2005-05-09,1359.5,1.51225,0.0337749999999999,72.54685000000006,333.75,1018.1999999999992
2005-05-10,1347.25,1.51615,0.0332499999999999,72.95310000000006,333.75,1019.3999999999992
2005-05-11,1353.75,1.50885,0.0334749999999999,73.06247500000006,332.25,1019.3999999999992
2005-05-12,1340.25,1.49995,0.0335749999999999,73.23435000000006,330.25,1013.5999999999992
2005-05-13,1337.75,1.49175,0.0334249999999999,73.56247500000006,329.75,1011.6999999999992
2005-05-16,1348.25,1.4923499999999998,0.0335249999999999,73.65622500000006,333.25,1009.8999999999992
2005-05-17,1356.25,1.49015,0.0337249999999999,73.76560000000006,333.5,1010.3999999999992
2005-05-18,1368.0,1.49585,0.0342249999999999,74.17185000000006,336.75,1012.4999999999992
2005-05-19,1372.5,1.49225,0.0340499999999999,73.87497500000006,335.75,1011.7999999999992
2005-05-20,1371.5,1.48385,0.0340999999999999,73.74997500000006,339.0,1009.0999999999992
2005-05-23,1377.5,1.48595,0.0341499999999999,74.21872500000006,348.5,1008.0999999999992
2005-05-24,1375.0,1.48685,0.0340749999999999,74.62497500000006,346.25,1008.7999999999992
2005-05-25,1373.75,1.48805,0.0343249999999999,74.26560000000006,347.75,1009.8999999999992
2005-05-26,1379.5,1.47925,0.0342749999999999,74.10935000000006,349.75,1009.0999999999992
2005-05-27,1381.5,1.4864499999999998,0.0347999999999999,74.24997500000006,346.75,1010.9999999999992
2005-05-31,1373.75,1.4580499999999998,0.0349999999999999,74.68747500000006,347.25,1007.1999999999992
2005-06-01,1382.5,1.45035,0.0352999999999999,75.34372500000006,349.75,1005.6999999999992
2005-06-02,1386.75,1.4560499999999998,0.0355999999999999,75.43747500000006,343.0,1012.7999999999992
2005-06-03,1379.75,1.44965,0.0352249999999999,74.79685000000006,344.25,1013.7999999999992
2005-06-06,1379.5,1.45505,0.0351499999999999,74.98435000000006,346.5,1016.4999999999992
2005-06-07,1380.25,1.45555,0.0351749999999999,75.35935000000006,346.25,1015.1999999999992
2005-06-08,1377.25,1.45095,0.0351749999999999,75.14060000000006,342.75,1015.0999999999992
2005-06-09,1382.25,1.44925,0.0351249999999999,74.98435000000006,342.5,1014.5999999999992
2005-06-10,1380.25,1.43935,0.0352999999999999,74.39060000000006,338.25,1018.0999999999992
2005-06-13,1383.75,1.43825,0.0353249999999999,74.12497500000006,342.75,1020.1999999999992
2005-06-14,1386.25,1.43075,0.0355999999999999,73.82810000000006,346.75,1018.3999999999992
2005-06-15,1388.0,1.43905,0.0358249999999999,73.79685000000006,352.5,1020.0999999999992
2005-06-16,1392.0,1.43725,0.0364999999999999,74.12497500000006,353.5,1027.0999999999992
2005-06-17,1396.75,1.45525,0.0362749999999999,73.99997500000006,357.0,1029.1999999999994
2005-06-20,1396.25,1.4420499999999998,0.0362999999999999,73.81247500000006,363.75,1029.1999999999994
2005-06-21,1397.0,1.44485,0.0366499999999999,74.21872500000006,360.25,1029.6999999999994
2005-06-22,1397.25,1.43985,0.0367999999999999,75.06247500000006,357.75,1028.8999999999992
2005-06-23,1380.0,1.42945,0.0366749999999999,74.93747500000006,354.75,1032.3999999999992
