Date,ES,6E,6M,ZN,ZC,GC,combined
1999-01-04,-4.719999999999345,0.0,-9.2400000000016,0.0,-71.67999999999302,-76.15999999997439,-161.79999999996835
1999-01-05,267.97999999999956,0.0,715.7599999999984,0.0,-4446.679999999993,-328.1599999999744,-3791.0999999999694
1999-01-06,245.27999999999884,0.0,215.7599999999984,0.0,-2022.2799999999988,-1517.7600000000093,-3079.000000000011
1999-01-07,337.97999999999956,0.0,-109.2400000000016,0.0,-3034.779999999999,-1404.7999999999884,-4210.839999999989
1999-01-08,205.27999999999884,0.0,-1409.2400000000016,0.0,-2139.899999999994,-1823.5199999999604,-5167.379999999957
1999-01-11,-27.07999999999811,0.0,-4259.240000000002,0.0,-739.8999999999942,-648.5200000000186,-5674.7400000000125
1999-01-12,-211.13000000000102,0.0,-9563.860000000002,0.0,60.10000000000582,-34.39999999999418,-9749.289999999992
1999-01-13,-516.9399999999987,0.0,-9888.860000000002,0.0,-39.89999999999418,-37.11999999999534,-10482.81999999999
1999-01-14,-216.9399999999987,0.0,-7388.860000000002,0.0,-39.89999999999418,-15.119999999995343,-7660.819999999991
1999-01-15,-134.6399999999976,0.0,-6788.860000000002,0.0,860.1000000000058,50.88000000000466,-6012.5199999999895
1999-01-19,-21.93999999999869,0.0,-6788.860000000002,0.0,360.1000000000058,-125.11999999999534,-6575.819999999991
1999-01-20,-376.9399999999987,0.0,-6538.860000000002,0.0,160.10000000000582,-243.28000000002794,-6998.980000000023
1999-01-21,-389.29999999999836,0.0,-6676.360000000002,0.0,60.10000000000582,104.0,-6901.559999999995
1999-01-22,-332.8099999999977,0.0,-7188.860000000002,0.0,460.1000000000058,-186.71999999997206,-7248.289999999966
1999-01-25,-115.16999999999643,0.0,-6688.860000000002,0.0,260.1000000000058,235.55999999999767,-6308.369999999995
1999-01-26,-199.0199999999959,0.0,-6863.860000000002,0.0,354.9800000000105,955.4000000000233,-5752.4999999999645
1999-01-27,-114.01999999999589,0.0,-5788.860000000002,0.0,17.480000000010477,549.4000000000233,-5335.9999999999645
1999-01-28,-34.0199999999968,0.0,-5288.860000000002,0.0,799.8600000000151,85.40000000002328,-4437.619999999961
1999-01-29,-70.16999999999643,0.0,-5338.860000000002,0.0,399.86000000001513,-787.3199999999488,-5796.4899999999325
1999-02-01,-117.5299999999952,0.0,-5263.860000000002,0.0,-300.13999999998487,-736.7599999999511,-6418.289999999934
1999-02-02,12.410000000003492,0.0,-5288.860000000002,0.0,199.86000000001513,-323.4799999999814,-5400.069999999965
1999-02-03,-85.0899999999956,0.0,-5088.860000000002,0.0,-300.13999999998487,-901.1999999999534,-6375.289999999936
1999-02-04,-163.73999999999614,0.0,-5038.860000000002,0.0,-500.13999999998487,-759.9199999999837,-6462.659999999967
1999-02-05,-145.0899999999956,0.0,-5038.860000000002,0.0,-605.2599999999802,-943.9199999999837,-6733.129999999962
1999-02-08,-287.5899999999956,0.0,-4951.360000000002,0.0,-155.2599999999802,-460.9199999999837,-5855.129999999962
1999-02-09,-255.0899999999956,0.0,-4388.860000000002,0.0,-1617.7599999999802,-394.63999999998487,-6656.349999999963
1999-02-10,-68.73999999999614,0.0,-4213.860000000002,0.0,-272.87999999997555,-526.6399999999849,-5082.119999999959
1999-02-11,-190.0899999999956,0.0,-3876.3600000000024,0.0,316.88000000000466,-1010.6399999999849,-4760.209999999978
1999-02-12,-170.0899999999956,0.0,-3326.3600000000024,0.0,936.7600000000093,-158.0799999999872,-2717.769999999976
1999-02-16,-237.44999999999527,0.0,-3388.8600000000024,0.0,1206.640000000014,97.76000000003842,-2321.9099999999453
1999-02-17,-237.44999999999527,0.0,-3538.8600000000024,0.0,456.64000000001397,-156.95999999996275,-3476.6299999999464
1999-02-18,-237.44999999999527,0.0,-3713.8600000000024,0.0,601.5200000000186,-651.8399999999383,-4001.6299999999173
1999-02-19,-237.44999999999527,0.0,-3488.8600000000024,0.0,1246.4000000000233,-391.8399999999383,-2871.7499999999127
1999-02-22,-237.44999999999527,0.0,-3688.8600000000024,0.0,721.4000000000233,-495.8399999999674,-3700.749999999942
1999-02-23,-239.80999999999585,0.0,-3543.480000000003,0.0,4921.400000000023,-599.8399999999674,538.2700000000568
1999-02-24,-301.019999999995,0.0,-3843.480000000003,0.0,5250.920000000042,-758.5599999999977,347.86000000004606
1999-02-25,-301.019999999995,0.0,-2693.480000000003,0.0,6745.800000000047,-508.5599999999977,3242.7400000000507
1999-02-26,-303.37999999999465,0.0,-3193.480000000003,0.0,6053.180000000051,-483.5599999999977,2072.7600000000557
1999-03-01,-353.2399999999943,0.0,-3368.480000000003,-3.819999999999709,3553.180000000051,-558.5599999999395,-730.9199999998855
1999-03-02,-353.2399999999943,0.0,-3643.480000000003,214.9800000000032,4048.060000000056,-658.5599999999395,-392.2399999998779
1999-03-03,-353.2399999999943,0.0,-3043.480000000003,449.3799999999901,2923.060000000056,-936.2799999999697,-960.5599999999213
1999-03-04,-353.2399999999943,0.0,-2843.480000000003,-66.31999999999971,3030.4400000000605,-915.7199999999721,-1148.3199999999088
1999-03-05,-353.2399999999943,0.0,-1648.0999999999985,-144.41999999999098,1130.4400000000605,-1811.719999999972,-2827.0399999998954
1999-03-08,-353.2399999999943,0.0,-1498.1000000000022,-644.419999999991,1525.3200000000652,-1987.8800000000047,-2958.319999999927
1999-03-09,-355.5999999999949,0.0,1.8999999999941792,-535.0199999999968,1000.3200000000652,-2193.319999999949,-2081.719999999881
1999-03-10,-278.0999999999949,0.0,1201.8999999999978,-535.0199999999968,650.3200000000652,-2549.75999999998,-1510.659999999909
1999-03-11,-344.44999999999345,0.0,2851.899999999998,-785.0199999999968,1437.8200000000652,-2049.75999999998,1110.4900000000926
1999-03-12,-266.74999999999454,0.0,3001.899999999994,-925.6200000000099,1962.8200000000652,-552.4799999999814,3219.8700000000736
1999-03-15,-268.0999999999949,0.0,2851.899999999998,-1175.62000000001,825.3200000000652,292.4800000000687,2525.980000000127
1999-03-16,-304.44999999999345,0.0,3264.4000000000015,-1003.8199999999997,295.20000000006985,258.4800000000687,2509.810000000147
1999-03-17,-207.19999999999345,0.0,3001.899999999994,-1144.419999999991,595.2000000000698,306.7600000000675,2552.240000000147
1999-03-18,-315.5999999999949,0.0,2701.9000000000015,-785.0199999999968,-379.79999999993015,108.76000000006752,1330.2400000001471
1999-03-19,-309.10999999999694,0.0,2476.899999999998,-613.1200000000099,-979.7999999999302,72.76000000009662,647.6300000001575
1999-03-22,-701.4099999999962,0.0,3264.4000000000015,-613.1200000000099,-79.79999999993015,88.04000000006636,1958.1100000001315
1999-03-23,-628.7699999999968,0.0,3339.399999999998,-831.919999999991,145.20000000006985,212.88000000006286,2236.7900000001428
1999-03-24,-506.2699999999968,0.0,4201.899999999998,-519.419999999991,-379.79999999993015,430.1600000000617,3226.5700000001416
1999-03-25,-541.2699999999968,0.0,5401.899999999998,-519.419999999991,-904.7999999999302,1304.1600000000617,4740.570000000142
1999-03-26,-443.7699999999968,0.0,6747.279999999999,-222.5199999999968,-829.7999999999302,1120.1600000000617,6371.350000000137
1999-03-29,-446.2699999999968,0.0,6342.659999999998,-613.1200000000099,-754.7999999999302,1350.1600000000617,5878.630000000123
1999-03-30,-560.1199999999972,0.0,7538.040000000001,-331.919999999991,965.0800000000745,1209.4400000000896,8820.520000000177
1999-03-31,-512.4199999999964,0.0,7138.040000000001,-191.3199999999997,1584.9600000000792,1185.4400000000605,9204.700000000144
1999-04-01,-358.7699999999968,0.0,9538.04,-831.919999999991,2179.840000000084,1590.7200000000594,12117.910000000156
1999-04-05,-372.41999999999643,0.0,8938.04,-1253.8199999999997,2799.7200000000885,1215.7200000000594,11327.240000000153
1999-04-06,-332.41999999999643,0.0,10138.04,-1160.0199999999968,2274.7200000000885,1163.0000000000582,12083.320000000154
1999-04-07,-246.2699999999968,0.0,9738.04,-1863.12000000001,2574.7200000000885,1115.0000000000873,11318.37000000017
1999-04-08,-233.7699999999968,0.0,8738.04,-1835.7399999999907,2124.7200000000885,944.280000000057,9737.530000000159
1999-04-09,-163.7699999999968,0.0,9538.04,-1835.7399999999907,3474.7200000000885,669.280000000057,11682.530000000159
1999-04-12,-213.62999999999738,0.0,9138.04,-1835.7399999999907,3174.7200000000885,391.560000000085,10654.950000000186
1999-04-13,-445.92999999999665,0.0,9488.04,-1835.7399999999907,2419.600000000093,962.1200000000827,10588.09000000019
1999-04-14,-520.989999999998,0.0,9488.04,-1835.7399999999907,1539.4800000000978,364.12000000008265,9034.910000000193
1999-04-15,-567.3399999999983,0.0,10488.04,-1835.7399999999907,2064.480000000098,280.6800000000803,10430.12000000019
1999-04-16,-673.489999999998,0.0,13288.04,-1835.7399999999907,1389.4800000000978,136.68000000010943,12304.97000000022
1999-04-19,-607.5899999999983,0.0,12688.04,-1835.7399999999907,339.4800000000978,232.68000000008033,10816.87000000019
1999-04-20,-422.3399999999983,0.0,13738.04,-1835.7399999999907,714.4800000000978,298.7600000000675,12493.200000000177
1999-04-21,-334.3899999999976,0.0,14138.04,-1835.7399999999907,1914.4800000000978,277.0000000000582,14159.390000000169
1999-04-22,-354.6399999999976,0.0,14538.04,-1835.7399999999907,1689.4800000000978,363.0000000000582,14400.140000000169
1999-04-23,-322.3399999999983,0.0,14238.04,-1835.7399999999907,3264.480000000098,1306.2800000000861,16650.720000000198
1999-04-26,-297.3399999999983,0.0,13838.04,-1835.7399999999907,4014.480000000098,838.8400000000256,16558.280000000137
