Date,Open,High,Low,Close,Volume
2017-04-18,2772.0,2782.0,2728.0,2728.0,12
2017-04-19,2732.0,2734.0,2732.0,2734.0,4
2017-04-20,,,,2741.0,0
2017-04-21,2793.0,2840.0,2793.0,2814.0,82
2017-04-24,2825.0,2825.0,2791.0,2791.0,6
2017-04-25,2820.0,2830.0,2820.0,2830.0,12
2017-04-26,,,,2845.0,0
2017-04-27,2868.0,2877.0,2826.0,2877.0,10
2017-04-28,2888.0,2941.0,2888.0,2940.0,44
2017-05-02,2992.0,3106.0,2952.0,3106.0,24
2017-05-03,2980.0,2985.0,2949.0,2969.0,54
2017-05-04,2918.0,2921.0,2764.0,2789.0,214
2017-05-05,2769.0,2788.0,2733.0,2765.0,122
2017-05-08,2783.0,2818.0,2733.0,2778.0,114
2017-05-09,2785.0,2785.0,2748.0,2748.0,68
2017-05-10,2765.0,2801.0,2765.0,2799.0,136
2017-05-11,2807.0,2807.0,2740.0,2796.0,126
2017-05-12,2778.0,2910.0,2716.0,2716.0,150
2017-05-15,2723.0,2780.0,2697.0,2731.0,100
2017-05-16,2752.0,2752.0,2730.0,2730.0,46
2017-05-17,2761.0,2818.0,2729.0,2805.0,122
2017-05-18,2809.0,2814.0,2752.0,2805.0,136
2017-05-19,2782.0,2862.0,2781.0,2862.0,120
2017-05-22,2855.0,2980.0,2845.0,2948.0,246
2017-05-23,2970.0,2971.0,2886.0,2917.0,52
2017-05-24,2913.0,2932.0,2863.0,2909.0,90
2017-05-25,2894.0,2930.0,2875.0,2875.0,94
2017-05-26,2873.0,2873.0,2828.0,2857.0,136
2017-05-31,2879.0,2905.0,2760.0,2760.0,84
2017-06-01,2773.0,2774.0,2744.0,2744.0,38
2017-06-02,2750.0,2750.0,2730.0,2739.0,104
2017-06-05,2717.0,2734.0,2694.0,2707.0,110
2017-06-06,2687.0,2745.0,2687.0,2734.0,136
2017-06-07,2735.0,2761.0,2729.0,2744.0,58
2017-06-08,2740.0,2774.0,2740.0,2743.0,72
2017-06-09,2751.0,2786.0,2751.0,2778.0,38
2017-06-12,2792.0,2810.0,2772.0,2810.0,44
2017-06-13,2782.0,2785.0,2759.0,2759.0,120
2017-06-14,2748.0,2817.0,2748.0,2809.0,112
2017-06-15,2806.0,2850.0,2783.0,2846.0,114
2017-06-16,2855.0,2881.0,2844.0,2848.0,62
2017-06-19,2888.0,2900.0,2888.0,2900.0,8
2017-06-20,2895.0,2895.0,2864.0,2876.0,170
2017-06-21,2849.0,2857.0,2833.0,2857.0,46
2017-06-22,2877.0,2897.0,2856.0,2856.0,28
2017-06-23,2865.0,2894.0,2860.0,2894.0,44
2017-06-26,2888.0,2919.0,2887.0,2911.0,96
2017-06-27,2915.0,2945.0,2910.0,2945.0,40
2017-06-28,2987.0,3008.0,2987.0,3008.0,22
2017-06-29,3042.0,3067.0,3036.0,3061.0,58
2017-06-30,3079.0,3079.0,3057.0,3073.0,24
2017-07-03,3069.0,3108.0,3068.0,3108.0,22
2017-07-04,3150.0,3150.0,3050.0,3066.0,30
2017-07-05,3102.0,3115.0,3091.0,3095.0,76
2017-07-06,3086.0,3086.0,3070.0,3074.0,10
2017-07-07,3091.0,3282.0,3080.0,3282.0,126
2017-07-10,3179.0,3197.0,3137.0,3180.0,34
2017-07-11,3197.0,3288.0,3196.0,3288.0,134
2017-07-12,3271.0,3317.0,3252.0,3260.0,54
2017-07-13,3278.0,3349.0,3260.0,3345.0,110
2017-07-14,3333.0,3333.0,3298.0,3305.0,16
2017-07-17,3284.0,3359.0,3284.0,3347.0,20
2017-07-18,3346.0,3352.0,3293.0,3302.0,36
2017-07-19,3321.0,3374.0,3318.0,3349.0,40
2017-07-20,3334.0,3341.0,3240.0,3248.0,44
2017-07-21,3249.0,3258.0,3227.0,3258.0,76
2017-07-24,3270.0,3270.0,3228.0,3252.0,10
2017-07-25,3267.0,3313.0,3267.0,3312.0,12
2017-07-26,3322.0,3376.0,3322.0,3363.0,48
2017-07-27,3338.0,3369.0,3321.0,3328.0,30
2017-07-28,3365.0,3388.0,3363.0,3363.0,58
2017-07-31,3413.0,3500.0,3399.0,3500.0,34
2017-08-01,3504.0,3504.0,3481.0,3481.0,6
2017-08-02,3463.0,3570.0,3463.0,3570.0,22
2017-08-03,3559.0,3643.0,3559.0,3643.0,62
2017-08-04,3651.0,3713.0,3626.0,3696.0,42
2017-08-07,3708.0,3924.0,3680.0,3850.0,70
2017-08-08,3834.0,3860.0,3740.0,3740.0,56
2017-08-09,3797.0,3824.0,3787.0,3788.0,10
2017-08-10,3867.0,3871.0,3833.0,3870.0,20
2017-08-11,3831.0,3867.0,3719.0,3745.0,36
2017-08-14,3752.0,3762.0,3682.0,3695.0,56
2017-08-15,3685.0,3709.0,3627.0,3641.0,34
2017-08-16,3615.0,3646.0,3607.0,3613.0,50
2017-08-17,3640.0,3749.0,3633.0,3720.0,80
2017-08-18,3733.0,3780.0,3697.0,3780.0,68
2017-08-21,3782.0,3974.0,3727.0,3858.0,46
2017-08-22,3880.0,3883.0,3825.0,3837.0,38
2017-08-23,3816.0,3816.0,3696.0,3711.0,60
2017-08-24,3703.0,3762.0,3669.0,3755.0,90
