Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-06-17,-0.6918707636364605,18.016073643340455,-13.958546070952178,-14.468883089683994,0.0,0.0,-13.507389074270113,16.26047649123081,-7.624740716580588
2014-06-18,-0.4375819994909649,17.92718000994474,-13.912480635584085,-14.264592647494615,0.0,0.0,-13.428710208182206,16.337712937804774,-7.477059523753127
2014-06-19,-0.12498191286915539,17.86647896077867,-13.877927639577173,-14.067889300624792,0.0,0.0,-13.445837683010266,16.388969431640966,-7.1880786823771805
2014-06-20,0.21674907578381886,17.91868741633563,-13.833767802340068,-13.870483129018258,0.0,0.0,-13.081093507683914,16.45330947677838,-5.284181367206429
2014-06-23,0.5134225905737453,17.859289970292572,-13.765202230113957,-13.665660552190332,0.0,0.0,-12.928000286602181,16.505306646189673,-4.943766374123626
2014-06-24,0.7962801012548013,17.80891517753686,-13.70190575384133,-13.477740138341648,0.0,-1.6537292852781655,-12.71433167893141,16.510419364481503,-4.506712911869537
2014-06-25,1.0705001381367685,18.023436562732883,-13.62332157431873,-13.292436969759976,0.0,-1.6200558092925765,-12.534700386900962,16.57402620185286,-4.153338645309486
2014-06-26,1.5711291110285124,18.029409031290264,-13.526722366570818,-13.125580800919147,0.0,-1.3192643714756889,-12.410014909129476,16.5041193906208,-3.850292127152457
2014-06-27,2.034631254262533,19.15073383124141,-13.212761448978576,-12.949998960606067,0.0,-1.2029676690422881,-12.275780835028243,17.489484738710587,-3.545828406224806
2014-06-30,2.4901669954218377,18.951489108798885,-13.010012303978266,-12.732605860678893,0.0,-1.1610005947392488,-12.19130810419432,17.416324598917136,-3.3107462909371463
2014-07-01,2.864655226349537,16.281105067640198,-13.239146322304371,-12.49905322818254,0.0,-1.302830945794972,-12.197013165528713,15.55712912266173,-3.1065648692009398
2014-07-02,2.954608575344599,16.420335214247295,-12.75426873534301,-12.283709359203769,0.0,-1.1670125897205725,-12.056017771002718,16.116319049808638,-2.9406875438349047
