Date,TA,M,RB,FG,MA,HC,V,RM,AG
2014-10-24,175094,593794.0,4631784,87332,1646,26,10181.0,335920,53036
2014-10-27,182690,446625.0,3682354,49082,874,48,7459.0,313974,68006
2014-10-28,247046,638990.0,4006168,119630,478,162,1800.0,317714,50976
2014-10-29,257878,531353.0,5199588,74870,918,54,1603.0,677480,47146
2014-10-30,244154,862881.0,6061352,101916,946,386,2676.0,841788,205724
2014-10-31,440248,687618.0,5027740,79388,1626,266,2009.0,714114,321612
2014-11-03,250186,831661.0,5634362,79868,1502,390,1021.0,774384,433484
2014-11-04,390214,1070490.0,5819806,98734,1324,196,2199.0,806810,346062
2014-11-05,287986,987568.0,6212778,116128,4666,264,1665.0,847376,535388
2014-11-06,260366,714430.0,5593508,150020,4850,72,1325.0,732646,1051414
2014-11-07,333288,939688.0,6886784,176860,2018,398,794.0,1133622,1395618
2014-11-10,502864,747249.0,6817834,152790,1768,274,2302.0,1014406,2389448
2014-11-11,520604,714818.0,4467210,98810,1588,38,1177.0,964456,1633212
2014-11-12,572232,188215.0,5140482,562676,2920,520,858.0,1210386,1184294
2014-11-13,642956,98464.0,4548416,299946,1944,340,2206.0,1017026,1258154
2014-11-14,847464,192336.0,3606306,779308,2062,188,2872.0,1726720,1998724
2014-11-17,809476,141955.0,4282336,534946,3844,100,2165.0,1514974,4392426
2014-11-18,684402,140133.0,7893790,502118,2876,1148,2517.0,1710540,2361452
2014-11-19,1481520,127772.0,5697686,310300,3668,804,2461.0,2335188,1719892
2014-11-20,849922,141444.0,4135288,376012,11274,848,1642.0,2011358,3399466
2014-11-21,715236,124132.0,6265558,314096,4292,740,2906.0,2322638,1808744
2014-11-24,1355276,115926.0,5317852,330932,3858,584,3194.0,1786392,2460648
2014-11-25,1577400,89340.0,5293080,324352,6578,634,3900.0,1744612,1145936
2014-11-26,1002332,183880.0,4756278,178912,4724,2020,1616.0,2127840,1897038
2014-11-27,1284574,93886.0,8196212,301052,5806,1930,2439.0,1379514,1647784
2014-11-28,1182850,148797.0,7732948,388784,6136,2350,5273.0,2062680,1301338
2014-12-01,747220,191013.0,6595664,389942,8500,4006,11268.0,1843438,2265360
2014-12-02,1166512,130391.0,227602,318064,5226,4830,8675.0,1982798,5362976
2014-12-03,1197748,250425.0,250252,272300,7886,3930,3809.0,2693530,4649196
2014-12-04,1070016,191569.0,336742,436908,17900,7012,2082.0,2060520,2372274
2014-12-05,739638,143869.0,211126,27688,10054,2686,215.0,282654,3211152
2014-12-08,1362718,169091.0,240724,17556,18180,4286,238.0,250338,3172562
2014-12-09,1290642,162524.0,362922,37888,15456,4976,2223.0,219798,1853536
2014-12-10,999408,266224.0,205440,23066,9468,3652,391.0,332644,3439846
2014-12-11,1012364,197656.0,242028,44096,8924,5056,301.0,437738,4166320
2014-12-12,938906,163454.0,187464,47838,11210,4016,246.0,366404,2379500
