Date,TA,M,RB,FG,MA,HC,V,RM,AG,combined
2016-01-07,-4405,-9940,28830,-640,-1365,10245,6030,-6530,2530,24755
2016-01-08,-4225,-9940,28890,-640,-1105,10465,6030,-6230,2635,25880
2016-01-11,-3525,-9940,29250,-760,-955,10725,6030,-6170,3550,28205
2016-01-12,-3585,-9940,29170,-1005,-825,10635,6030,-6130,3775,28125
2016-01-13,-3505,-9940,28790,-645,-1045,10445,6030,-6470,3130,26790
2016-01-14,-3485,-9940,28530,-465,-925,10265,6030,-6530,3460,26940
2016-01-15,-3535,-9940,27510,555,-1285,9855,6030,-7670,3400,24920
2016-01-18,-3895,-9940,27245,915,-1605,9745,6030,-7590,3085,23990
2016-01-19,-3625,-9940,27515,615,-1465,9965,6030,-7730,3100,24465
2016-01-20,-3735,-9940,27605,735,-1465,10025,6030,-7590,2845,24510
2016-01-21,-4085,-9940,27505,1455,-1595,9895,6030,-8315,2995,23945
2016-01-22,-4115,-9940,27365,855,-1595,9815,6030,-8215,3025,23225
2016-01-25,-3975,-9940,27315,855,-1555,9865,6030,-8235,2500,22860
2016-01-26,-4235,-9940,27215,1215,-1795,9875,6030,-8215,2320,22470
2016-01-27,-3995,-9940,27545,850,-1625,10345,6030,-8215,2590,23585
2016-01-28,-4215,-9940,27555,370,-1560,10245,6030,-7935,2800,23350
2016-01-29,-4065,-9940,27515,365,-1560,10195,6030,-8155,2635,23020
2016-02-01,-4105,-9940,27555,365,-1560,10195,6030,-8245,2785,23080
2016-02-02,-4045,-9940,27475,420,-1565,10185,6030,-8225,2725,23060
2016-02-03,-4435,-9940,27215,1460,-1965,9755,6030,-8245,1975,21850
2016-02-04,-4515,-9940,27295,1455,-1880,9865,6030,-8135,1945,22120
2016-02-05,-4585,-9940,27015,1815,-1880,9745,6025,-7875,700,21020
2016-02-15,-4565,-9940,27085,1390,-1880,9615,6100,-7815,835,20825
2016-02-16,-4385,-9940,27125,2905,-1880,9665,5775,-7605,805,22465
2016-02-17,-4485,-9940,27065,2965,-1880,9595,5925,-7665,955,22535
2016-02-18,-4585,-9940,26975,3025,-1880,9425,6425,-7585,670,22530
2016-02-19,-4645,-9940,26505,3745,-1880,8615,6550,-7895,1075,22130
2016-02-22,-4595,-9940,26625,3745,-1880,8890,6750,-7835,1075,22835
2016-02-23,-4465,-9940,26685,4165,-1880,8890,6550,-7595,1135,23545
2016-02-24,-4505,-9940,26775,4825,-1880,8890,6825,-7595,1315,24710
2016-02-25,-4165,-9940,26845,5065,-1880,8890,6750,-7495,1675,25745
2016-02-26,-4265,-9940,26515,4825,-1880,8890,6675,-7215,2905,26510
2016-02-29,-5165,-9945,26255,5480,-1880,8890,6925,-7340,2425,25645
