Date,CurrentContract,CarryContract
1980-10-17,198104,198104
1980-10-20,198104,198104
1980-10-21,198104,198104
1980-10-22,198104,198104
1980-10-23,198104,198104
1980-10-24,198104,198104
1980-10-27,198104,198104
1980-10-28,198104,198104
1980-10-29,198104,198104
1980-10-30,198104,198104
1980-10-31,198104,198104
1980-11-03,198104,198104
1980-11-05,198104,198104
1980-11-06,198104,198104
1980-11-07,198104,198104
1980-11-10,198104,198104
1980-11-11,198104,198104
1980-11-12,198104,198104
1980-11-13,198104,198104
1980-11-14,198104,198104
1980-11-17,198104,198104
1980-11-18,198104,198104
1980-11-19,198104,198104
1980-11-20,198104,198104
1980-11-21,198104,198104
1980-11-24,198104,198104
1980-11-25,198104,198104
1980-11-26,198104,198104
1980-11-28,198104,198104
1980-12-01,198104,198104
1980-12-02,198104,198104
1980-12-03,198104,198104
1980-12-04,198104,198104
1980-12-05,198104,198104
1980-12-08,198104,198104
1980-12-09,198104,198104
1980-12-10,198104,198104
1980-12-11,198104,198104
1980-12-12,198104,198104
1980-12-15,198104,198104
1980-12-16,198104,198104
1980-12-17,198104,198104
1980-12-18,198104,198104
1980-12-19,198104,198104
1980-12-22,198104,198104
1980-12-23,198104,198104
1980-12-24,198104,198104
1980-12-29,198104,198104
1980-12-30,198104,198104
1980-12-31,198104,198104
1981-01-02,198104,198104
1981-01-05,198104,198104
1981-01-06,198104,198104
1981-01-07,198104,198104
1981-01-08,198104,198104
1981-01-09,198104,198104
1981-01-12,198104,198104
1981-01-13,198104,198104
1981-01-14,198104,198104
1981-01-15,198104,198104
1981-01-16,198104,198104
1981-01-19,198104,198104
1981-01-20,198104,198104
1981-01-21,198104,198104
1981-01-22,198104,198104
1981-01-23,198104,198104
1981-01-26,198104,198104
1981-01-27,198104,198104
1981-01-28,198104,198104
1981-01-29,198104,198104
1981-01-30,198104,198104
1981-02-02,198104,198104
1981-02-03,198104,198104
1981-02-04,198104,198104
1981-02-05,198104,198104
1981-02-06,198104,198104
1981-02-09,198104,198104
1981-02-10,198104,198104
1981-02-11,198104,198104
1981-02-12,198104,198104
1981-02-13,198104,198104
1981-02-17,198104,198104
1981-02-18,198104,198104
1981-02-19,198104,198104
1981-02-20,198104,198104
1981-02-23,198104,198104
1981-02-24,198104,198104
1981-02-25,198104,198104
1981-02-26,198104,198104
1981-02-27,198104,198104
1981-03-02,198104,198104
1981-03-03,198104,198104
1981-03-04,198104,198104
1981-03-05,198104,198104
1981-03-06,198104,198104
1981-03-09,198104,198104
1981-03-10,198104,198104
1981-03-11,198104,198104
1981-03-12,198104,198104
1981-03-13,198104,198104
1981-03-16,198104,198104
1981-03-17,198104,198104
1981-03-18,198104,198104
1981-03-19,198104,198104
1981-03-20,198104,198104
1981-03-23,198104,198104
1981-03-24,198104,198104
1981-03-25,198104,198104
1981-03-26,198104,198104
1981-03-27,198106,198106
1981-03-30,198106,198106
1981-03-31,198106,198106
1981-04-01,198106,198106
1981-04-02,198106,198106
1981-04-03,198106,198106
1981-04-06,198106,198106
1981-04-07,198106,198106
1981-04-08,198106,198106
1981-04-09,198106,198106
1981-04-10,198106,198106
1981-04-13,198106,198106
1981-04-14,198106,198106
1981-04-15,198106,198106
1981-04-16,198106,198106
1981-04-20,198106,198106
1981-04-21,198106,198106
1981-04-22,198106,198106
1981-04-23,198106,198106
1981-04-24,198106,198106
1981-04-27,198106,198106
1981-04-28,198106,198106
1981-04-29,198106,198106
1981-04-30,198106,198106
1981-05-01,198106,198106
1981-05-04,198106,198106
1981-05-05,198106,198106
1981-05-06,198106,198106
1981-05-07,198106,198106
1981-05-08,198106,198106
1981-05-11,198106,198106
1981-05-12,198106,198106
1981-05-13,198106,198106
1981-05-14,198106,198106
1981-05-15,198106,198106
1981-05-18,198106,198106
1981-05-19,198106,198106
1981-05-20,198106,198106
1981-05-21,198106,198106
1981-05-22,198106,198106
1981-05-26,198106,198106
1981-05-27,198106,198106
1981-05-28,198108,198108
1981-05-29,198108,198108
1981-06-01,198108,198108
1981-06-02,198108,198108
1981-06-03,198108,198108
1981-06-04,198108,198108
1981-06-05,198108,198108
1981-06-08,198108,198108
1981-06-09,198108,198108
1981-06-10,198108,198108
1981-06-11,198108,198108
1981-06-12,198108,198108
1981-06-15,198108,198108
1981-06-16,198108,198108
1981-06-17,198108,198108
1981-06-18,198108,198108
1981-06-19,198108,198108
1981-06-22,198108,198108
1981-06-23,198108,198108
1981-06-24,198108,198108
1981-06-25,198108,198108
1981-06-26,198108,198108
1981-06-29,198108,198108
1981-06-30,198108,198108
1981-07-01,198108,198108
1981-07-02,198108,198108
1981-07-06,198108,198108
1981-07-07,198108,198108
1981-07-08,198108,198108
1981-07-09,198108,198108
1981-07-10,198108,198108
1981-07-13,198108,198108
1981-07-14,198108,198108
1981-07-15,198108,198108
1981-07-16,198108,198108
1981-07-17,198108,198108
1981-07-20,198108,198108
1981-07-21,198108,198108
1981-07-22,198108,198108
1981-07-23,198108,198108
1981-07-24,198108,198108
1981-07-27,198108,198108
1981-07-28,198108,198108
1981-07-29,198108,198108
1981-07-30,198108,198108
1981-07-31,198112,198112
1981-08-03,198112,198112
1981-08-04,198112,198112
1981-08-05,198112,198112
1981-08-06,198112,198112
1981-08-07,198112,198112
1981-08-10,198112,198112
1981-08-11,198112,198112
1981-08-12,198112,198112
1981-08-13,198112,198112
