Date,Open,High,Low,Close,Volume,Open Interest
1982-11-03,429.2,429.2,429.2,429.2,0.0,0.0
1982-11-04,432.5,432.5,432.5,432.5,0.0,0.0
1982-11-05,427.0,427.0,422.1,422.1,6.0,6.0
1982-11-08,410.4,410.4,410.4,410.4,0.0,6.0
1982-11-09,417.0,417.0,417.0,417.0,0.0,6.0
1982-11-10,408.0,408.0,408.0,408.0,0.0,6.0
1982-11-11,409.0,409.0,409.0,409.0,0.0,6.0
1982-11-12,413.6,413.6,413.6,413.6,0.0,6.0
1982-11-15,408.0,409.6,408.0,409.6,1.0,6.0
1982-11-16,414.7,414.7,414.7,414.7,0.0,6.0
1982-11-17,411.7,411.7,411.7,411.7,0.0,6.0
1982-11-18,416.4,416.4,416.4,416.4,0.0,6.0
1982-11-19,418.0,418.0,418.0,418.0,0.0,6.0
1982-11-22,409.1,409.1,409.1,409.1,0.0,6.0
1982-11-23,408.3,408.3,408.3,408.3,0.0,6.0
1982-11-24,411.0,418.0,411.0,414.3,1.0,7.0
1982-11-26,430.3,430.3,430.3,430.3,0.0,7.0
1982-11-29,433.5,438.0,432.5,437.3,15.0,8.0
1982-11-30,445.8,445.8,445.8,445.8,1.0,10.0
1982-12-01,440.8,440.8,438.6,438.6,5.0,10.0
1982-12-02,451.0,451.0,446.1,446.1,11.0,11.0
1982-12-03,444.0,444.6,442.4,444.6,2.0,12.0
1982-12-06,446.0,448.8,446.0,448.8,1.0,12.0
1982-12-07,457.0,457.0,455.3,455.3,2.0,10.0
1982-12-08,441.3,441.3,441.3,441.3,0.0,10.0
1982-12-09,441.0,446.0,439.0,446.0,9.0,8.0
1982-12-10,438.3,438.3,438.3,438.3,0.0,8.0
1982-12-13,440.5,446.1,440.5,446.1,2.0,8.0
1982-12-14,452.0,452.0,433.4,433.4,3.0,8.0
1982-12-15,440.2,440.2,440.2,440.2,0.0,8.0
1982-12-16,442.5,442.5,442.5,442.5,0.0,8.0
1982-12-17,440.7,440.7,440.7,440.7,0.0,8.0
1982-12-20,443.4,443.4,443.4,443.4,0.0,8.0
1982-12-21,452.1,452.1,452.1,452.1,0.0,8.0
1982-12-22,450.0,450.0,444.6,444.6,7.0,8.0
1982-12-23,448.0,448.0,447.4,447.4,2.0,7.0
1982-12-27,458.7,458.7,458.7,458.7,0.0,7.0
1982-12-28,455.5,456.3,455.5,456.3,10.0,12.0
1982-12-29,460.0,461.9,460.0,461.9,38.0,40.0
1982-12-30,460.5,460.5,448.2,449.9,128.0,57.0
1983-01-03,452.0,452.0,450.5,450.5,1.0,44.0
1983-01-04,452.0,454.0,448.0,454.0,9.0,5.0
1983-01-05,457.0,462.0,457.0,458.3,49.0,28.0
1983-01-06,453.5,453.9,453.5,453.9,1.0,2.0
1983-01-07,455.2,467.0,454.5,467.0,57.0,52.0
1983-01-10,475.8,483.5,474.5,480.6,27.0,17.0
1983-01-11,484.6,487.0,479.5,479.9,31.0,31.0
1983-01-12,480.0,490.1,480.0,490.1,63.0,48.0
1983-01-13,488.8,491.5,486.5,488.3,21.0,26.0
1983-01-14,488.5,488.5,488.5,488.5,10.0,19.0
1983-01-17,493.0,493.0,491.1,491.1,36.0,41.0
1983-01-18,487.5,502.5,487.0,502.5,8.0,6.0
1983-01-19,495.0,495.0,488.6,488.6,7.0,7.0
1983-01-20,491.5,491.5,491.5,491.5,1.0,6.0
1983-01-21,481.5,484.2,481.5,484.2,2.0,6.0
1983-01-24,474.5,481.9,474.5,481.9,19.0,12.0
1983-01-25,487.2,491.0,486.5,489.8,16.0,12.0
1983-01-26,487.5,491.3,487.5,491.3,21.0,20.0
