Date,Open,High,Low,Close,Volume,Open Interest
2017-08-30,1312.3,1312.3,1312.3,1312.3,0.0,0.0
2017-08-31,1314.8,1320.4,1314.5,1320.4,10.0,10.0
2017-09-01,1327.3,1329.0,1327.0,1328.5,10.0,10.0
2017-09-05,1338.1,1347.3,1330.4,1342.6,42.0,2.0
2017-09-06,1343.7,1345.1,1335.6,1337.1,96.0,156.0
2017-09-07,1337.8,1352.5,1337.8,1348.4,218.0,187.0
2017-09-08,1352.2,1359.0,1346.8,1349.1,166.0,257.0
2017-09-11,1346.0,1346.0,1328.8,1333.2,181.0,359.0
2017-09-12,1330.5,1330.7,1324.4,1330.5,126.0,379.0
2017-09-13,1334.1,1334.9,1322.3,1325.6,133.0,413.0
2017-09-14,1320.0,1330.0,1317.8,1326.9,70.0,438.0
2017-09-15,1333.0,1335.0,1322.1,1322.9,70.0,435.0
2017-09-18,1318.6,1320.4,1307.4,1308.3,93.0,480.0
2017-09-19,1308.4,1312.2,1306.9,1308.2,335.0,481.0
2017-09-20,1311.9,1316.5,1297.8,1314.0,369.0,579.0
2017-09-21,1302.0,1302.0,1289.0,1292.2,762.0,678.0
2017-09-22,1292.3,1298.6,1291.9,1294.9,211.0,727.0
2017-09-25,1294.7,1311.4,1291.8,1308.8,444.0,838.0
2017-09-26,1310.8,1313.9,1294.0,1299.5,718.0,1131.0
2017-09-27,1295.4,1296.6,1282.1,1285.8,745.0,1177.0
2017-09-28,1284.0,1288.8,1279.4,1286.5,743.0,1387.0
2017-09-29,1287.5,1290.6,1279.8,1282.7,908.0,1396.0
2017-10-02,1278.0,1278.5,1271.9,1274.1,904.0,1720.0
2017-10-03,1272.6,1275.5,1269.2,1273.1,570.0,1939.0
2017-10-04,1272.6,1282.8,1271.7,1275.2,816.0,1831.0
2017-10-05,1274.8,1279.7,1266.8,1271.4,901.0,1556.0
2017-10-06,1269.3,1276.7,1261.3,1273.1,469.0,1395.0
2017-10-09,1276.3,1285.7,1276.3,1283.2,205.0,1325.0
2017-10-10,1284.9,1294.5,1283.2,1292.1,443.0,1429.0
2017-10-11,1288.5,1294.1,1285.5,1287.3,749.0,1387.0
2017-10-12,1292.8,1297.9,1290.6,1294.7,520.0,1297.0
2017-10-13,1294.7,1304.1,1292.1,1302.9,534.0,1233.0
2017-10-16,1303.9,1306.2,1291.9,1301.2,780.0,1078.0
2017-10-17,1296.0,1296.0,1282.3,1284.4,775.0,1137.0
2017-10-18,1285.0,1288.5,1277.5,1281.2,487.0,938.0
2017-10-19,1280.4,1289.7,1277.0,1288.1,505.0,875.0
2017-10-20,1290.0,1290.6,1278.0,1278.6,556.0,899.0
2017-10-23,1277.0,1282.2,1272.3,1278.8,1153.0,888.0
2017-10-24,1280.7,1282.2,1272.7,1275.8,447.0,869.0
2017-10-25,1275.9,1277.9,1269.6,1276.3,569.0,833.0
2017-10-26,1276.6,1280.5,1264.2,1266.8,268.0,723.0
2017-10-27,1264.4,1270.2,1261.8,1268.2,567.0,652.0
2017-10-30,1270.0,1274.1,1267.9,1274.1,222.0,610.0
2017-10-31,1273.1,1274.6,1266.1,1267.0,235.0,272.0
2017-11-01,1272.2,1274.8,1270.3,1274.1,78.0,135.0
2017-11-02,1274.9,1274.9,1274.9,1274.9,70.0,141.0
2017-11-03,1265.3,1267.9,1265.3,1266.5,75.0,140.0
2017-11-06,1269.0,1280.5,1269.0,1279.4,128.0,188.0
2017-11-07,1276.8,1276.8,1270.4,1273.7,11.0,84.0
2017-11-08,1275.9,1284.9,1274.7,1281.6,15.0,77.0
2017-11-09,1279.7,1286.9,1279.7,1285.6,18.0,79.0
2017-11-10,1283.5,1283.5,1272.4,1272.4,10.0,71.0
2017-11-13,1277.0,1277.3,1277.0,1277.3,3.0,71.0
2017-11-14,1276.9,1281.5,1273.5,1281.5,4.0,71.0
2017-11-15,1281.4,1284.7,1275.9,1276.5,13.0,62.0
2017-11-16,1277.5,1277.5,1277.4,1277.4,43.0,40.0
2017-11-17,1288.3,1295.8,1288.3,1295.8,1.0,10.0
2017-11-20,1275.9,1275.9,1274.6,1274.6,1.0,10.0
2017-11-21,1281.1,1281.1,1281.1,1281.1,0.0,9.0
2017-11-22,1284.7,1291.6,1282.9,1291.6,4.0,12.0
2017-11-24,1286.7,1286.7,1286.7,1286.7,0.0,1.0
2017-11-27,1293.8,1293.8,1293.8,1293.8,1.0,1.0
2017-11-28,1294.7,1294.7,1294.7,1294.7,0.0,1.0
