Date,Open,High,Low,Close,Volume,Open Interest
1980-09-29,874.7,874.7,874.7,874.7,0.0,0.0
1980-09-30,875.7,876.1,875.7,876.1,4.0,4.0
1980-10-01,886.7,886.7,886.7,886.7,0.0,4.0
1980-10-02,873.1,873.1,873.1,873.1,0.0,4.0
1980-10-03,868.9,868.9,868.9,868.9,30.0,14.0
1980-10-06,876.2,876.2,876.2,876.2,75.0,109.0
1980-10-07,867.1,867.1,867.1,867.1,207.0,231.0
1980-10-08,874.8,874.8,869.8,869.8,221.0,280.0
1980-10-09,883.3,883.3,883.3,883.3,120.0,280.0
1980-10-10,887.0,887.0,884.1,884.1,3.0,280.0
1980-10-13,875.7,875.7,875.7,875.7,1.0,281.0
1980-10-14,872.2,872.2,872.2,872.2,0.0,281.0
1980-10-15,866.0,866.0,866.0,866.0,362.0,643.0
1980-10-16,854.9,854.9,854.9,854.9,10.0,653.0
1980-10-17,856.7,857.0,829.9,837.4,172.0,768.0
1980-10-20,839.7,840.0,823.0,838.6,152.0,808.0
1980-10-21,840.8,840.8,840.8,840.8,7.0,813.0
1980-10-22,837.0,837.0,834.9,834.9,128.0,858.0
1980-10-23,809.9,809.9,809.9,809.9,78.0,919.0
1980-10-24,810.5,811.4,810.5,811.4,1331.0,1849.0
1980-10-27,817.0,817.2,817.0,817.2,36.0,1862.0
1980-10-28,815.0,822.4,815.0,822.4,55.0,1890.0
1980-10-29,835.0,835.0,830.3,830.3,68.0,1920.0
1980-10-30,834.9,835.9,833.5,835.9,99.0,1953.0
1980-10-31,817.0,827.5,817.0,827.5,80.0,1939.0
1980-11-03,848.1,848.1,848.1,848.1,164.0,2039.0
1980-11-05,835.9,835.9,835.9,835.9,18.0,2044.0
1980-11-06,817.0,817.0,810.9,810.9,332.0,2336.0
1980-11-07,785.9,787.9,785.9,787.9,150.0,2412.0
1980-11-10,798.0,798.0,790.5,790.5,193.0,2490.0
1980-11-11,773.0,793.0,773.0,793.0,99.0,2540.0
1980-11-12,791.2,791.2,791.2,791.2,244.0,2550.0
1980-11-13,779.3,779.3,779.3,779.3,34.0,2621.0
1980-11-14,790.5,790.5,790.5,790.5,134.0,2736.0
1980-11-17,785.5,792.6,785.5,792.6,0.0,2736.0
1980-11-18,793.5,800.2,793.5,800.2,337.0,2777.0
1980-11-19,815.5,817.7,815.5,817.7,176.0,2808.0
1980-11-20,820.0,834.7,820.0,834.7,381.0,3083.0
1980-11-21,829.9,829.9,828.7,828.7,267.0,2990.0
1980-11-24,806.2,806.2,806.2,806.2,213.0,3106.0
1980-11-25,817.5,817.5,817.5,817.5,126.0,3158.0
1980-11-26,814.0,814.0,813.5,813.5,24.0,3188.0
1980-11-28,815.5,815.5,815.5,815.5,22.0,3195.0
1980-12-01,824.5,824.5,819.9,819.9,108.0,3208.0
1980-12-02,818.5,818.5,810.5,813.2,196.0,3355.0
1980-12-03,816.0,817.1,816.0,817.1,129.0,3456.0
1980-12-04,822.0,822.0,806.5,806.5,2142.0,5225.0
1980-12-05,802.0,803.0,795.0,801.9,2741.0,6845.0
1980-12-08,792.0,792.0,788.4,788.4,530.0,6723.0
1980-12-09,774.6,774.6,764.7,764.7,1011.0,6677.0
1980-12-10,753.0,753.0,739.7,739.7,2526.0,6964.0
1980-12-11,715.0,715.0,714.7,714.7,415.0,7120.0
1980-12-12,738.3,738.3,738.3,738.3,221.0,7230.0
1980-12-15,741.5,741.5,739.2,739.2,465.0,7245.0
1980-12-16,725.0,731.5,719.0,731.5,986.0,7489.0
1980-12-17,742.4,742.4,742.4,742.4,416.0,7502.0
1980-12-18,736.4,736.4,736.4,736.4,161.0,7584.0
1980-12-19,753.0,761.4,747.5,761.4,933.0,7717.0
1980-12-22,760.0,760.0,749.8,749.8,968.0,8149.0
1980-12-23,763.5,763.5,763.5,763.5,1328.0,8728.0
1980-12-24,762.0,765.7,762.0,765.7,421.0,8867.0
1980-12-29,740.7,740.7,740.7,740.7,246.0,8862.0
1980-12-30,740.2,743.5,729.0,738.5,2746.0,8772.0
1980-12-31,739.0,754.0,736.5,742.5,1626.0,9478.0
1981-01-02,735.2,736.0,732.0,735.8,307.0,9583.0
1981-01-05,743.8,750.5,740.0,740.8,1111.0,8990.0
1981-01-06,746.4,746.4,741.6,741.6,635.0,8558.0
1981-01-07,725.0,725.0,716.6,716.6,760.0,8434.0
1981-01-08,718.0,718.0,714.0,714.1,115.0,8415.0
1981-01-09,719.8,719.8,719.8,719.8,398.0,8547.0
1981-01-12,701.0,701.0,701.0,701.0,504.0,8810.0
1981-01-13,702.0,702.0,701.5,701.5,1338.0,8481.0
1981-01-14,709.6,709.6,709.6,709.6,923.0,8338.0
1981-01-15,711.0,711.0,698.3,698.3,461.0,8305.0
1981-01-16,700.0,705.0,700.0,705.0,1845.0,8927.0
1981-01-19,703.9,703.9,703.9,703.9,1009.0,8602.0
1981-01-20,709.4,709.4,709.4,709.4,140.0,8619.0
1981-01-21,706.2,706.2,706.2,706.2,214.0,8557.0
1981-01-22,694.9,694.9,694.9,694.9,131.0,8560.0
1981-01-23,688.2,688.2,688.2,688.2,661.0,8926.0
1981-01-26,663.2,663.2,663.2,663.2,3012.0,9727.0
1981-01-27,648.0,648.0,639.2,643.9,153.0,9977.0
1981-01-28,642.0,642.0,630.3,630.3,168.0,9977.0
1981-01-29,618.3,633.0,609.0,633.0,724.0,9908.0
1981-01-30,614.4,614.4,614.4,614.4,527.0,10204.0
1981-02-02,600.0,600.0,589.4,589.4,2542.0,11666.0
1981-02-03,599.0,602.2,599.0,602.2,330.0,11829.0
1981-02-04,620.0,620.0,599.4,599.4,673.0,11742.0
1981-02-05,605.0,610.4,600.0,610.4,908.0,11287.0
1981-02-06,614.0,617.3,614.0,617.3,609.0,11129.0
1981-02-09,629.6,633.2,627.0,633.2,770.0,10864.0
1981-02-10,625.0,625.0,623.4,623.4,244.0,10767.0
1981-02-11,610.0,612.1,610.0,612.1,100.0,10561.0
1981-02-12,608.6,608.6,608.6,608.6,537.0,10717.0
1981-02-13,606.1,606.1,606.1,606.1,186.0,10712.0
1981-02-17,615.5,615.5,615.5,615.5,654.0,10948.0
1981-02-18,608.2,608.2,608.2,608.2,1047.0,11246.0
1981-02-19,625.4,625.4,625.4,625.4,1272.0,11098.0
1981-02-20,623.0,623.0,623.0,623.0,13.0,11093.0
1981-02-23,612.2,612.2,612.2,612.2,417.0,11294.0
1981-02-24,615.8,618.0,614.5,618.0,241.0,11425.0
1981-02-25,609.8,609.8,609.8,609.8,292.0,11312.0
1981-02-26,598.0,603.7,596.5,603.7,220.0,11585.0
1981-02-27,590.0,590.0,587.1,587.1,438.0,11321.0
1981-03-02,570.0,570.0,562.1,562.1,641.0,11290.0
1981-03-03,571.0,571.0,568.0,570.7,981.0,11478.0
1981-03-04,551.3,551.3,551.3,551.3,754.0,11612.0
1981-03-05,557.4,557.4,557.4,557.4,144.0,11637.0
1981-03-06,560.0,560.0,557.9,557.9,2484.0,10761.0
1981-03-09,568.4,568.4,568.4,568.4,939.0,11011.0
1981-03-10,593.0,593.0,579.9,579.9,406.0,10507.0
1981-03-11,568.2,570.7,565.0,570.7,975.0,11184.0
1981-03-12,570.0,578.5,570.0,578.5,153.0,11268.0
1981-03-13,588.0,588.0,582.3,582.3,1257.0,11308.0
1981-03-16,595.5,598.0,586.0,589.1,1454.0,11703.0
1981-03-17,582.0,602.6,582.0,602.6,488.0,11725.0
1981-03-18,606.0,606.0,600.8,600.8,544.0,11775.0
1981-03-19,600.8,600.8,598.0,600.6,766.0,11972.0
1981-03-20,607.0,625.6,607.0,625.6,570.0,12263.0
1981-03-23,616.0,620.1,616.0,620.1,1040.0,12694.0
1981-03-24,637.0,637.0,630.0,634.5,929.0,12860.0
1981-03-25,630.0,630.0,630.0,630.0,476.0,13016.0
1981-03-26,655.0,655.0,649.6,649.6,1083.0,13610.0
1981-03-27,632.9,632.9,632.9,632.9,415.0,13695.0
1981-03-30,613.0,613.0,607.9,610.9,955.0,13478.0
1981-03-31,603.5,611.0,603.5,611.0,310.0,13638.0
1981-04-01,613.5,613.5,613.5,613.5,169.0,13729.0
1981-04-02,614.7,614.7,614.7,614.7,772.0,13626.0
1981-04-03,626.0,626.0,621.6,621.6,167.0,13572.0
1981-04-06,633.7,633.7,632.4,632.4,952.0,13986.0
1981-04-07,615.3,615.3,615.3,615.3,343.0,13908.0
1981-04-08,617.5,617.5,617.5,617.5,631.0,14039.0
1981-04-09,598.5,598.5,592.5,593.2,780.0,14477.0
1981-04-10,589.0,589.0,587.0,587.5,846.0,14343.0
1981-04-13,571.0,576.4,568.0,576.4,1880.0,14741.0
1981-04-14,581.1,581.1,581.1,581.1,945.0,15483.0
1981-04-15,570.3,570.3,570.3,570.3,1585.0,16577.0
1981-04-16,584.5,584.5,584.5,584.5,1181.0,16156.0
1981-04-20,583.3,583.3,583.3,583.3,668.0,16679.0
1981-04-21,575.8,585.8,574.5,585.8,3130.0,18154.0
1981-04-22,593.0,593.0,585.9,585.9,866.0,18301.0
1981-04-23,586.5,589.1,586.0,589.1,184.0,18510.0
1981-04-24,589.0,589.0,583.0,583.0,1485.0,18502.0
1981-04-27,582.8,582.8,582.8,582.8,1028.0,18153.0
1981-04-28,582.5,582.5,580.0,582.5,3142.0,19967.0
1981-04-29,574.2,576.5,572.0,576.5,1701.0,20412.0
1981-04-30,582.0,582.0,582.0,582.0,2232.0,21354.0
1981-05-01,589.0,592.6,589.0,592.6,1546.0,21627.0
