Date,Open,High,Low,Close,Volume,Open Interest
1982-03-30,411.7,411.7,411.7,411.7,0.0,0.0
1982-03-31,419.4,419.4,419.4,419.4,0.0,0.0
1982-04-01,418.5,418.5,417.6,417.6,1.0,1.0
1982-04-02,421.9,421.9,421.9,421.9,1.0,1.0
1982-04-05,441.3,441.3,441.3,441.3,0.0,1.0
1982-04-06,459.3,459.3,459.3,459.3,0.0,1.0
1982-04-07,452.8,454.0,448.3,448.3,3.0,1.0
1982-04-08,451.5,458.3,451.5,458.3,2.0,3.0
1982-04-12,449.0,449.0,447.3,447.3,2.0,5.0
1982-04-13,453.3,453.3,453.3,453.3,0.0,5.0
1982-04-14,469.3,469.3,469.3,469.3,15.0,5.0
1982-04-15,464.1,464.1,464.1,464.1,0.0,5.0
1982-04-16,456.3,456.3,456.3,456.3,0.0,5.0
1982-04-19,431.7,431.7,431.7,431.7,0.0,5.0
1982-04-20,436.5,436.5,436.5,436.5,0.0,5.0
1982-04-21,440.0,440.0,432.8,432.8,1.0,6.0
1982-04-22,434.8,434.8,434.8,434.8,0.0,6.0
1982-04-23,441.4,441.4,441.4,441.4,0.0,6.0
1982-04-26,441.4,441.4,441.4,441.4,0.0,6.0
1982-04-27,445.4,445.4,445.4,445.4,0.0,6.0
1982-04-28,444.6,444.6,444.6,444.6,0.0,6.0
1982-04-29,447.0,447.0,447.0,447.0,0.0,6.0
1982-04-30,430.1,430.1,430.1,430.1,0.0,6.0
1982-05-03,433.2,433.2,433.2,433.2,0.0,6.0
1982-05-04,430.7,430.7,430.7,430.7,0.0,6.0
1982-05-05,421.0,421.0,421.0,421.0,0.0,6.0
1982-05-06,413.7,413.7,413.7,413.7,0.0,6.0
1982-05-07,412.0,413.3,412.0,413.3,2.0,6.0
1982-05-10,407.4,407.4,407.4,407.4,0.0,6.0
1982-05-11,413.2,413.2,413.2,413.2,0.0,6.0
1982-05-12,411.5,412.4,411.5,412.4,2.0,5.0
1982-05-13,411.7,411.7,411.7,411.7,0.0,5.0
1982-05-14,418.2,418.2,418.2,418.2,0.0,5.0
1982-05-17,414.6,414.6,414.6,414.6,0.0,5.0
1982-05-18,420.4,420.4,420.4,420.4,0.0,5.0
1982-05-19,422.8,422.8,422.8,422.8,0.0,5.0
1982-05-20,422.0,422.7,422.0,422.7,2.0,6.0
1982-05-21,413.3,413.3,413.3,413.3,0.0,6.0
1982-05-24,403.7,403.7,403.7,403.7,0.0,6.0
1982-05-25,404.8,404.8,404.8,404.8,0.0,6.0
1982-05-26,399.7,399.7,399.7,399.7,3.0,9.0
1982-05-27,401.3,401.3,401.3,401.3,0.0,9.0
1982-05-28,400.0,400.0,395.6,395.6,1.0,10.0
1982-06-01,391.3,391.3,391.3,391.3,3.0,7.0
1982-06-02,395.0,395.0,395.0,395.0,0.0,7.0
1982-06-03,394.0,394.0,391.7,391.7,2.0,8.0
1982-06-04,395.3,395.3,395.3,395.3,0.0,8.0
1982-06-07,405.0,414.3,405.0,414.3,1.0,9.0
1982-06-08,410.2,410.2,410.0,410.0,1.0,9.0
