Date,Open,High,Low,Close,Volume,Open Interest
1986-10-31,407.1,407.1,407.1,407.1,0.0,0.0
1986-11-03,408.4,408.4,408.4,408.4,0.0,0.0
1986-11-04,412.7,412.7,412.7,412.7,0.0,0.0
1986-11-05,408.5,410.1,408.5,410.1,1.0,1.0
1986-11-06,414.0,414.0,414.0,414.0,0.0,1.0
1986-11-07,412.2,412.2,412.2,412.2,0.0,1.0
1986-11-10,415.0,415.0,409.1,409.1,1.0,0.0
1986-11-11,410.9,410.9,410.9,410.9,0.0,0.0
1986-11-12,411.0,411.0,411.0,411.0,0.0,0.0
1986-11-13,412.0,412.0,411.1,411.1,1.0,1.0
1986-11-14,400.4,400.4,400.4,400.4,0.0,1.0
1986-11-17,397.5,397.5,389.0,390.9,11.0,9.0
1986-11-18,394.0,396.2,394.0,396.2,7.0,10.0
1986-11-19,395.0,395.0,390.2,390.3,4.0,10.0
1986-11-20,390.3,393.5,390.3,393.5,1.0,8.0
1986-11-21,380.0,381.0,380.0,381.0,2.0,9.0
1986-11-24,384.2,384.2,384.2,384.2,0.0,9.0
1986-11-25,385.0,387.8,385.0,387.8,7.0,4.0
1986-11-26,384.0,385.3,384.0,385.3,2.0,4.0
1986-11-28,391.9,393.0,390.0,393.0,6.0,5.0
1986-12-01,400.5,401.0,395.9,395.9,6.0,9.0
1986-12-02,391.3,391.3,391.3,391.3,0.0,9.0
1986-12-03,394.2,394.2,394.2,394.2,3.0,6.0
1986-12-04,390.2,390.2,390.2,390.2,5.0,4.0
1986-12-05,391.4,391.4,391.4,391.4,0.0,4.0
1986-12-08,392.2,392.2,392.2,392.2,0.0,4.0
1986-12-09,388.9,388.9,388.9,388.9,0.0,4.0
1986-12-10,391.6,391.6,391.6,391.6,0.0,4.0
1986-12-11,392.2,392.2,392.2,392.2,0.0,4.0
1986-12-12,394.3,394.3,394.3,394.3,0.0,4.0
1986-12-15,396.9,396.9,396.9,396.9,0.0,4.0
1986-12-16,394.8,394.8,394.8,394.8,0.0,4.0
1986-12-17,392.5,393.8,392.5,393.8,6.0,9.0
1986-12-18,396.2,396.2,396.2,396.2,0.0,9.0
1986-12-19,394.2,394.2,394.2,394.2,0.0,9.0
1986-12-22,395.0,395.0,394.7,394.7,3.0,8.0
1986-12-23,394.0,394.0,389.5,389.5,401.0,402.0
1986-12-24,391.5,391.5,391.0,391.0,180.0,554.0
1986-12-29,389.8,389.8,389.8,389.8,101.0,655.0
1986-12-30,390.0,390.3,390.0,390.3,83.0,736.0
1986-12-31,400.0,404.9,400.0,404.9,18.0,21.0
1987-01-02,401.5,401.9,401.5,401.9,7.0,8.0
1987-01-05,399.9,402.9,399.5,402.9,19.0,14.0
1987-01-06,402.4,402.4,400.3,400.3,8.0,11.0
1987-01-07,402.6,402.6,402.6,402.6,210.0,213.0
1987-01-08,403.2,403.2,402.3,402.3,2.0,2.0
1987-01-09,406.0,406.0,406.0,406.0,270.0,221.0
1987-01-12,410.2,412.0,408.7,408.7,119.0,98.0
1987-01-13,409.0,410.9,409.0,410.9,2.0,44.0
1987-01-14,417.5,417.9,417.5,417.9,385.0,366.0
1987-01-15,414.0,415.9,414.0,415.9,4.0,14.0
1987-01-16,416.3,416.3,416.3,416.3,0.0,14.0
1987-01-19,424.5,424.5,422.4,422.4,20.0,10.0
1987-01-20,419.0,419.0,407.4,407.4,10.0,13.0
1987-01-21,408.1,408.1,408.1,408.1,4.0,2.0
1987-01-22,408.3,408.3,408.3,408.3,52.0,52.0
1987-01-23,404.9,404.9,404.9,404.9,0.0,0.0
1987-01-26,404.0,411.0,404.0,411.0,2.0,1.0
1987-01-27,415.5,415.5,415.5,415.5,0.0,2.0
1987-01-28,410.3,410.3,410.3,410.3,4.0,4.0
