Date,Open,High,Low,Close,Volume,Open Interest
2005-12-30,521.2,521.2,521.2,521.2,0.0,0.0
2006-01-03,534.8,534.8,534.8,534.8,0.0,0.0
2006-01-04,537.3,537.8,536.0,537.8,2.0,0.0
2006-01-05,530.7,530.7,529.9,529.9,18.0,10.0
2006-01-06,544.5,544.5,543.3,543.3,1.0,11.0
2006-01-09,543.0,552.7,539.0,552.7,24.0,15.0
2006-01-10,544.4,547.8,544.4,547.8,3.0,15.0
2006-01-11,548.0,552.3,548.0,552.3,24.0,9.0
2006-01-12,548.5,551.5,548.5,551.5,4.0,11.0
2006-01-13,550.0,559.3,550.0,559.3,3.0,10.0
2006-01-17,559.5,559.5,556.6,556.6,99.0,66.0
2006-01-18,548.4,551.0,546.8,546.8,54.0,66.0
2006-01-19,555.5,561.3,555.0,561.3,9.0,71.0
2006-01-20,565.0,570.5,556.3,556.3,30.0,66.0
2006-01-23,561.5,561.8,559.0,561.0,93.0,64.0
2006-01-24,559.0,560.4,558.0,560.4,41.0,62.0
2006-01-25,563.0,566.0,563.0,564.9,64.0,100.0
2006-01-26,560.0,565.0,556.0,562.3,37.0,109.0
2006-01-27,561.1,561.1,561.1,561.1,0.0,107.0
2006-01-30,565.5,568.1,565.5,568.1,57.0,113.0
2006-01-31,566.0,573.1,566.0,573.1,12.0,108.0
2006-02-01,570.5,571.6,567.5,571.6,20.0,101.0
2006-02-02,577.0,577.0,573.5,574.5,4.0,101.0
2006-02-03,569.1,569.1,569.1,569.1,0.0,101.0
2006-02-06,573.8,575.5,571.8,571.8,13.0,700.0
2006-02-07,567.0,567.0,552.0,552.3,43.0,105.0
2006-02-08,547.3,555.0,546.0,551.3,41.0,103.0
2006-02-09,559.0,565.6,559.0,565.6,69.0,124.0
2006-02-10,559.0,559.5,549.0,551.1,37.0,124.0
2006-02-13,540.0,541.0,540.0,540.0,123.0,138.0
2006-02-14,545.0,546.8,542.0,546.8,26.0,110.0
2006-02-15,545.0,545.0,540.0,540.6,3.0,107.0
2006-02-16,538.0,546.7,538.0,546.7,8.0,95.0
2006-02-17,552.3,552.3,552.3,552.3,30.0,93.0
2006-02-21,556.0,556.0,554.3,554.3,2.0,92.0
2006-02-22,552.3,554.3,552.0,554.3,5.0,91.0
2006-02-23,548.6,548.6,548.6,548.6,1.0,91.0
2006-02-24,553.0,559.0,553.0,558.9,14.0,92.0
2006-02-27,554.0,554.7,552.5,554.7,24.0,79.0
2006-02-28,557.0,561.6,557.0,561.6,49.0,36.0
2006-03-01,562.5,564.5,562.5,563.5,1.0,23.0
2006-03-02,568.2,568.2,568.2,568.2,0.0,14.0
2006-03-03,566.0,566.0,566.0,566.0,2.0,14.0
2006-03-06,554.9,554.9,554.9,554.9,0.0,13.0
2006-03-07,554.5,554.5,552.7,552.7,3.0,15.0
2006-03-08,540.0,542.5,540.0,542.5,0.0,15.0
2006-03-09,545.0,545.5,544.3,545.5,25.0,9.0
2006-03-10,539.9,539.9,539.9,539.9,3.0,2.0
2006-03-13,541.0,546.1,541.0,546.1,4.0,2.0
2006-03-14,551.7,551.7,551.7,551.7,0.0,2.0
2006-03-15,553.1,553.1,553.1,553.1,0.0,2.0
2006-03-16,554.4,554.4,554.4,554.4,0.0,2.0
2006-03-17,554.1,554.1,554.1,554.1,0.0,2.0
2006-03-20,555.2,555.2,555.2,555.2,0.0,2.0
2006-03-21,552.4,552.4,552.4,552.4,0.0,2.0
2006-03-22,550.9,550.9,550.9,550.9,300.0,2.0
2006-03-23,550.1,550.1,550.1,550.1,547.0,2.0
2006-03-24,560.0,560.0,560.0,560.0,0.0,2.0
2006-03-27,567.0,567.0,567.0,567.0,0.0,2.0
2006-03-28,566.6,566.6,566.6,566.6,0.0,2.0
2006-03-29,573.0,573.0,573.0,573.0,2.0,0.0
